word,language,category,severity,variants,action
t arantado,Filipino/Tagalog,insult,high,tarantado,block_and_flag
t*******o,Filipino/Tagalog,insult,high,tarantado,block_and_flag
t4r4nt4do,Filipino/Tagalog,insult,high,tarantado,block_and_flag
t@r@nt@d0,Filipino/Tagalog,insult,high,tarantado,block_and_flag
t@r@nt@do,Filipino/Tagalog,insult,high,tarantado,block_and_flag
tarantad0,Filipino/Tagalog,insult,high,tarantado,block_and_flag
ulol,Filipino/Tagalog,insult,high,ULOL | Ulol | u l o l | u lol | u**l | ul0l | ulol,block_and_flag
u l o l,Filipino/Tagalog,insult,high,ulol,block_and_flag
u lol,Filipino/Tagalog,insult,high,ulol,block_and_flag
u**l,Filipino/Tagalog,insult,high,ulol,block_and_flag
ul0l,Filipino/Tagalog,insult,high,ulol,block_and_flag
leche,Filipino/Tagalog,profanity,medium,LECHE | Leche | l e c h e | l eche | l***e | l3ch3 | leche,warn_and_log
l e c h e,Filipino/Tagalog,profanity,medium,leche,warn_and_log
l eche,Filipino/Tagalog,profanity,medium,leche,warn_and_log
l***e,Filipino/Tagalog,profanity,medium,leche,warn_and_log
l3ch3,Filipino/Tagalog,profanity,medium,leche,warn_and_log
bwisit,Filipino/Tagalog,profanity,medium,BWISIT | Bwisit | b w i s i t | b wisit | b****t | bw1s1t | bwi$it | bwi5it | bwisit,warn_and_log
b w i s i t,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
b wisit,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
b****t,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
bw1s1t,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
bwi$it,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
bwi5it,Filipino/Tagalog,profanity,medium,bwisit,warn_and_log
walang hiya,Filipino/Tagalog,insult,medium,WALANG HIYA | Walang Hiya | w a l a n g h i y a | w alanghiya | w********a | w4l4ngh1y4 | w4l4nghiy4 | w@l@ng hiy@ | w@l@ngh1y@ | walang h1ya | walang hiya | walang-hiya,warn_and_log
w a l a n g h i y a,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
w alanghiya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
w********a,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
w4l4ngh1y4,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
w4l4nghiy4,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
w@l@ng hiy@,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
w@l@ngh1y@,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
walang h1ya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
walang-hiya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
walang_hiya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
walangh1ya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
walanghiya,Filipino/Tagalog,insult,medium,walang hiya,warn_and_log
sira ulo,Filipino/Tagalog,insult,medium,$ira ulo | 5iraulo | SIRA ULO | Sira Ulo | s i r a u l o | s iraulo | s*****o | s1r4ulo | s1r@ul0 | s1ra ul0 | s1ra ulo | s1raulo,warn_and_log
$ira ulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
5iraulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s i r a u l o,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s iraulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s*****o,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s1r4ulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s1r@ul0,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s1ra ul0,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s1ra ulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
s1raulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
sir4ulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
sir@ ulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
sira ul0,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
sira-ulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
sira_ulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
siraul0,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
siraulo,Filipino/Tagalog,insult,medium,sira ulo,warn_and_log
hayop,Filipino/Tagalog,insult,medium,HAYOP | Hayop | h a y o p | h ayop | h***p | h4yop | h@y0p | h@yop | hay0p | hayop,warn_and_log
h a y o p,Filipino/Tagalog,insult,medium,hayop,warn_and_log
h ayop,Filipino/Tagalog,insult,medium,hayop,warn_and_log
h***p,Filipino/Tagalog,insult,medium,hayop,warn_and_log
h4yop,Filipino/Tagalog,insult,medium,hayop,warn_and_log
h@y0p,Filipino/Tagalog,insult,medium,hayop,warn_and_log
h@yop,Filipino/Tagalog,insult,medium,hayop,warn_and_log
hay0p,Filipino/Tagalog,insult,medium,hayop,warn_and_log
pakyu,Filipino/Tagalog,profanity,high,PAKYU | Pakyu | p a k y u | p akyu | p***u | p4kyu | p@kyu | pakyu,block_and_flag
p a k y u,Filipino/Tagalog,profanity,high,pakyu,block_and_flag
p akyu,Filipino/Tagalog,profanity,high,pakyu,block_and_flag
p***u,Filipino/Tagalog,profanity,high,pakyu,block_and_flag
p4kyu,Filipino/Tagalog,profanity,high,pakyu,block_and_flag
p@kyu,Filipino/Tagalog,profanity,high,pakyu,block_and_flag
fuck,English,profanity,high,FUCK | Fuck | f u c k | f uck | f**k | fuck,block_and_flag
f u c k,English,profanity,high,fuck,block_and_flag
f uck,English,profanity,high,fuck,block_and_flag
f**k,English,profanity,high,fuck,block_and_flag
fucking,English,profanity,high,FUCKING | Fucking | f u c k i n g | f ucking | f*****g | fuck1ng | fucking,block_and_flag
f u c k i n g,English,profanity,high,fucking,block_and_flag
f ucking,English,profanity,high,fucking,block_and_flag
f*****g,English,profanity,high,fucking,block_and_flag
fuck1ng,English,profanity,high,fucking,block_and_flag
shit,English,profanity,high,$hit | 5hit | SHIT | Shit | s h i t | s hit | s**t | sh1t | shit,block_and_flag
$hit,English,profanity,high,shit,block_and_flag
5hit,English,profanity,high,shit,block_and_flag
s h i t,English,profanity,high,shit,block_and_flag
s hit,English,profanity,high,shit,block_and_flag
s**t,English,profanity,high,shit,block_and_flag
sh1t,English,profanity,high,shit,block_and_flag
bullshit,English,profanity,high,BULLSHIT | Bullshit | b u l l s h i t | b ullshit | b******t | bull$hit | bull5hit | bullsh1t | bullshit,block_and_flag
b u l l s h i t,English,profanity,high,bullshit,block_and_flag
b ullshit,English,profanity,high,bullshit,block_and_flag
b******t,English,profanity,high,bullshit,block_and_flag
bull$hit,English,profanity,high,bullshit,block_and_flag
bull5hit,English,profanity,high,bullshit,block_and_flag
bullsh1t,English,profanity,high,bullshit,block_and_flag
bitch,English,insult,high,BITCH | Bitch | b i t c h | b itch | b***h | b1tch | bitch,block_and_flag
b i t c h,English,insult,high,bitch,block_and_flag
b itch,English,insult,high,bitch,block_and_flag
b***h,English,insult,high,bitch,block_and_flag
b1tch,English,insult,high,bitch,block_and_flag
asshole,English,insult,high,4sshol3 | 4sshole | @ssh0le | @sshol3 | @sshole | ASSHOLE | Asshole | a s s h o l e | a sshole | a$$hole | a*****e | a55hole,block_and_flag
4sshol3,English,insult,high,asshole,block_and_flag
4sshole,English,insult,high,asshole,block_and_flag
@ssh0le,English,insult,high,asshole,block_and_flag
@sshol3,English,insult,high,asshole,block_and_flag
@sshole,English,insult,high,asshole,block_and_flag
a s s h o l e,English,insult,high,asshole,block_and_flag
a sshole,English,insult,high,asshole,block_and_flag
a$$hole,English,insult,high,asshole,block_and_flag
a*****e,English,insult,high,asshole,block_and_flag
a55hole,English,insult,high,asshole,block_and_flag
assh0le,English,insult,high,asshole,block_and_flag
asshol3,English,insult,high,asshole,block_and_flag
bastard,English,insult,medium,BASTARD | Bastard | b a s t a r d | b astard | b*****d | b4st4rd | b@st@rd | ba$tard | ba5tard | bastard,warn_and_log
b a s t a r d,English,insult,medium,bastard,warn_and_log
b astard,English,insult,medium,bastard,warn_and_log
b*****d,English,insult,medium,bastard,warn_and_log
b4st4rd,English,insult,medium,bastard,warn_and_log
b@st@rd,English,insult,medium,bastard,warn_and_log
ba$tard,English,insult,medium,bastard,warn_and_log
ba5tard,English,insult,medium,bastard,warn_and_log
damn,English,profanity,medium,DAMN | Damn | d a m n | d amn | d**n | d4mn | d@mn | damn,warn_and_log
d a m n,English,profanity,medium,damn,warn_and_log
d amn,English,profanity,medium,damn,warn_and_log
d**n,English,profanity,medium,damn,warn_and_log
d4mn,English,profanity,medium,damn,warn_and_log
d@mn,English,profanity,medium,damn,warn_and_log
dick,English,sexual,high,DICK | Dick | d i c k | d ick | d**k | d1ck | dick,block_and_flag
d i c k,English,sexual,high,dick,block_and_flag
d ick,English,sexual,high,dick,block_and_flag
d**k,English,sexual,high,dick,block_and_flag
d1ck,English,sexual,high,dick,block_and_flag
piss off,English,profanity,medium,PISS OFF | Piss Off | p i s s o f f | p issoff | p*****f | p1ss 0ff | p1ss off | p1ss0ff | p1ssoff | pi$$ off | pi55off | piss 0ff,warn_and_log
p i s s o f f,English,profanity,medium,piss off,warn_and_log
p issoff,English,profanity,medium,piss off,warn_and_log
p*****f,English,profanity,medium,piss off,warn_and_log
p1ss 0ff,English,profanity,medium,piss off,warn_and_log
p1ss off,English,profanity,medium,piss off,warn_and_log
p1ss0ff,English,profanity,medium,piss off,warn_and_log
p1ssoff,English,profanity,medium,piss off,warn_and_log
pi$$ off,English,profanity,medium,piss off,warn_and_log
pi55off,English,profanity,medium,piss off,warn_and_log
piss 0ff,English,profanity,medium,piss off,warn_and_log
piss-off,English,profanity,medium,piss off,warn_and_log
piss0ff,English,profanity,medium,piss off,warn_and_log
piss_off,English,profanity,medium,piss off,warn_and_log
pissoff,English,profanity,medium,piss off,warn_and_log
son of a bitch,English,insult,high,$on of a bitch | 5onofabitch | SON OF A BITCH | Son Of A Bitch | s o n o f a b i t c h | s onofabitch | s*********h | s0n 0f a b1tch | s0n 0f a bitch | s0n0f@b1tch | s0n0fabitch | son of @ bitch,block_and_flag
$on of a bitch,English,insult,high,son of a bitch,block_and_flag
5onofabitch,English,insult,high,son of a bitch,block_and_flag
s o n o f a b i t c h,English,insult,high,son of a bitch,block_and_flag
s onofabitch,English,insult,high,son of a bitch,block_and_flag
s*********h,English,insult,high,son of a bitch,block_and_flag
s0n 0f a b1tch,English,insult,high,son of a bitch,block_and_flag
s0n 0f a bitch,English,insult,high,son of a bitch,block_and_flag
s0n0f@b1tch,English,insult,high,son of a bitch,block_and_flag
s0n0fabitch,English,insult,high,son of a bitch,block_and_flag
son of @ bitch,English,insult,high,son of a bitch,block_and_flag
son of a b1tch,English,insult,high,son of a bitch,block_and_flag
son-of-a-bitch,English,insult,high,son of a bitch,block_and_flag
son_of_a_bitch,English,insult,high,son of a bitch,block_and_flag
sonof4b1tch,English,insult,high,son of a bitch,block_and_flag
sonof4bitch,English,insult,high,son of a bitch,block_and_flag
sonofab1tch,English,insult,high,son of a bitch,block_and_flag
sonofabitch,English,insult,high,son of a bitch,block_and_flag
shut up,English,insult,low,$hut up | 5hutup | SHUT UP | Shut Up | s h u t u p | s hutup | s****p | shut up | shut-up | shut_up | shutup,allow_with_warning
$hut up,English,insult,low,shut up,allow_with_warning
5hutup,English,insult,low,shut up,allow_with_warning
s h u t u p,English,insult,low,shut up,allow_with_warning
s hutup,English,insult,low,shut up,allow_with_warning
s****p,English,insult,low,shut up,allow_with_warning
shut-up,English,insult,low,shut up,allow_with_warning
shut_up,English,insult,low,shut up,allow_with_warning
shutup,English,insult,low,shut up,allow_with_warning
idiot,English,insult,low,1d10t | 1d1ot | IDIOT | Idiot | i d i o t | i diot | i***t | idi0t | idiot,allow_with_warning
1d10t,English,insult,low,idiot,allow_with_warning
1d1ot,English,insult,low,idiot,allow_with_warning
i d i o t,English,insult,low,idiot,allow_with_warning
i diot,English,insult,low,idiot,allow_with_warning
i***t,English,insult,low,idiot,allow_with_warning
idi0t,English,insult,low,idiot,allow_with_warning
stupid,English,insult,low,$tupid | 5tupid | STUPID | Stupid | s t u p i d | s tupid | s****d | stup1d | stupid,allow_with_warning
$tupid,English,insult,low,stupid,allow_with_warning
5tupid,English,insult,low,stupid,allow_with_warning
s t u p i d,English,insult,low,stupid,allow_with_warning
s tupid,English,insult,low,stupid,allow_with_warning
s****d,English,insult,low,stupid,allow_with_warning
stup1d,English,insult,low,stupid,allow_with_warning
moron,English,insult,medium,MORON | Moron | m o r o n | m oron | m***n | m0r0n | moron,warn_and_log
m o r o n,English,insult,medium,moron,warn_and_log
m oron,English,insult,medium,moron,warn_and_log
m***n,English,insult,medium,moron,warn_and_log
m0r0n,English,insult,medium,moron,warn_and_log
jerk,English,insult,low,JERK | Jerk | j e r k | j erk | j**k | j3rk | jerk,allow_with_warning
j e r k,English,insult,low,jerk,allow_with_warning
j erk,English,insult,low,jerk,allow_with_warning
j**k,English,insult,low,jerk,allow_with_warning
j3rk,English,insult,low,jerk,allow_with_warning
jackass,English,insult,medium,JACKASS | Jackass | j a c k a s s | j ackass | j*****s | j4ck4ss | j@ck@ss | jacka$$ | jacka55 | jackass,warn_and_log
j a c k a s s,English,insult,medium,jackass,warn_and_log
j ackass,English,insult,medium,jackass,warn_and_log
j*****s,English,insult,medium,jackass,warn_and_log
j4ck4ss,English,insult,medium,jackass,warn_and_log
j@ck@ss,English,insult,medium,jackass,warn_and_log
jacka$$,English,insult,medium,jackass,warn_and_log
jacka55,English,insult,medium,jackass,warn_and_log
ass,English,profanity,medium,4ss | @ss | ASS | Ass | a$$ | a55 | ass,warn_and_log
4ss,English,profanity,medium,ass,warn_and_log
@ss,English,profanity,medium,ass,warn_and_log
a$$,English,profanity,medium,ass,warn_and_log
a55,English,profanity,medium,ass,warn_and_log
motherfucker,English,profanity,high,MOTHERFUCKER | Motherfucker | m o t h e r f u c k e r | m otherfucker | m**********r | m0therfucker | moth3rfuck3r | motherfucker,block_and_flag
m o t h e r f u c k e r,English,profanity,high,motherfucker,block_and_flag
m otherfucker,English,profanity,high,motherfucker,block_and_flag
m**********r,English,profanity,high,motherfucker,block_and_flag
m0therfucker,English,profanity,high,motherfucker,block_and_flag
moth3rfuck3r,English,profanity,high,motherfucker,block_and_flag
mother fucker,English,profanity,high,MOTHER FUCKER | Mother Fucker | m o t h e r f u c k e r | m otherfucker | m**********r | m0ther fucker | m0therfucker | moth3r fuck3r | moth3rfuck3r | mother fucker | mother-fucker | mother_fucker,block_and_flag
m0ther fucker,English,profanity,high,mother fucker,block_and_flag
moth3r fuck3r,English,profanity,high,mother fucker,block_and_flag
mother-fucker,English,profanity,high,mother fucker,block_and_flag
mother_fucker,English,profanity,high,mother fucker,block_and_flag
wtf,English,profanity,medium,WTF | Wtf | wtf,warn_and_log
stfu,English,insult,medium,$tfu | 5tfu | STFU | Stfu | s t f u | s tfu | s**u | stfu,warn_and_log
$tfu,English,insult,medium,stfu,warn_and_log
5tfu,English,insult,medium,stfu,warn_and_log
s t f u,English,insult,medium,stfu,warn_and_log
s tfu,English,insult,medium,stfu,warn_and_log
s**u,English,insult,medium,stfu,warn_and_log
pisti,Cebuano,profanity,medium,PISTI | Pisti | p i s t i | p isti | p***i | p1st1 | pi$ti | pi5ti | pisti,warn_and_log
p i s t i,Cebuano,profanity,medium,pisti,warn_and_log
p isti,Cebuano,profanity,medium,pisti,warn_and_log
p***i,Cebuano,profanity,medium,pisti,warn_and_log
p1st1,Cebuano,profanity,medium,pisti,warn_and_log
pi$ti,Cebuano,profanity,medium,pisti,warn_and_log
pi5ti,Cebuano,profanity,medium,pisti,warn_and_log
yawa,Cebuano,profanity,high,YAWA | Yawa | y a w a | y awa | y**a | y4w4 | y@w@ | yawa,block_and_flag
y a w a,Cebuano,profanity,high,yawa,block_and_flag
y awa,Cebuano,profanity,high,yawa,block_and_flag
y**a,Cebuano,profanity,high,yawa,block_and_flag
y4w4,Cebuano,profanity,high,yawa,block_and_flag
y@w@,Cebuano,profanity,high,yawa,block_and_flag
buang,Cebuano,insult,high,BUANG | Buang | b u a n g | b uang | b***g | bu4ng | bu@ng | buang,block_and_flag
b u a n g,Cebuano,insult,high,buang,block_and_flag
b uang,Cebuano,insult,high,buang,block_and_flag
b***g,Cebuano,insult,high,buang,block_and_flag
bu4ng,Cebuano,insult,high,buang,block_and_flag
bu@ng,Cebuano,insult,high,buang,block_and_flag
bogo,Cebuano,insult,medium,BOGO | Bogo | b o g o | b ogo | b**o | b0g0 | bogo,warn_and_log
b o g o,Cebuano,insult,medium,bogo,warn_and_log
b ogo,Cebuano,insult,medium,bogo,warn_and_log
b**o,Cebuano,insult,medium,bogo,warn_and_log
b0g0,Cebuano,insult,medium,bogo,warn_and_log
amaw,Cebuano,insult,medium,4m4w | @m@w | AMAW | Amaw | a m a w | a maw | a**w | amaw,warn_and_log
4m4w,Cebuano,insult,medium,amaw,warn_and_log
@m@w,Cebuano,insult,medium,amaw,warn_and_log
a m a w,Cebuano,insult,medium,amaw,warn_and_log
a maw,Cebuano,insult,medium,amaw,warn_and_log
a**w,Cebuano,insult,medium,amaw,warn_and_log
bilat,Cebuano,sexual,high,BILAT | Bilat | b i l a t | b ilat | b***t | b1l4t | b1l@t | b1lat | bil4t | bil@t | bilat,block_and_flag
b i l a t,Cebuano,sexual,high,bilat,block_and_flag
b ilat,Cebuano,sexual,high,bilat,block_and_flag
b***t,Cebuano,sexual,high,bilat,block_and_flag
b1l4t,Cebuano,sexual,high,bilat,block_and_flag
b1l@t,Cebuano,sexual,high,bilat,block_and_flag
b1lat,Cebuano,sexual,high,bilat,block_and_flag
bil4t,Cebuano,sexual,high,bilat,block_and_flag
bil@t,Cebuano,sexual,high,bilat,block_and_flag
animal,Cebuano,insult,medium,4n1m4l | 4nim4l | @n1m@l | @nim@l | ANIMAL | Animal | a n i m a l | a nimal | a****l | an1mal | animal,warn_and_log
4n1m4l,Cebuano,insult,medium,animal,warn_and_log
4nim4l,Cebuano,insult,medium,animal,warn_and_log
@n1m@l,Cebuano,insult,medium,animal,warn_and_log
@nim@l,Cebuano,insult,medium,animal,warn_and_log
a n i m a l,Cebuano,insult,medium,animal,warn_and_log
a nimal,Cebuano,insult,medium,animal,warn_and_log
a****l,Cebuano,insult,medium,animal,warn_and_log
an1mal,Cebuano,insult,medium,animal,warn_and_log
giatay,Cebuano,profanity,medium,GIATAY | Giatay | g i a t a y | g iatay | g****y | g14t4y | g1@t@y | g1atay | gi4t4y | gi@t@y | giatay,warn_and_log
g i a t a y,Cebuano,profanity,medium,giatay,warn_and_log
g iatay,Cebuano,profanity,medium,giatay,warn_and_log
g****y,Cebuano,profanity,medium,giatay,warn_and_log
g14t4y,Cebuano,profanity,medium,giatay,warn_and_log
g1@t@y,Cebuano,profanity,medium,giatay,warn_and_log
g1atay,Cebuano,profanity,medium,giatay,warn_and_log
gi4t4y,Cebuano,profanity,medium,giatay,warn_and_log
gi@t@y,Cebuano,profanity,medium,giatay,warn_and_log
p*tang ina,Cebuano/Filipino,profanity,high,P*TANG INA | P*Tang Ina | p * t a n g i n a | p *tangina | p*******a | p*t4ng1n4 | p*t4ngin4 | p*t@ng in@ | p*t@ng1n@ | p*tang 1na | p*tang ina | p*tang-ina,block_and_flag
p * t a n g i n a,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p *tangina,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*******a,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*t4ng1n4,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*t4ngin4,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*t@ng in@,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*t@ng1n@,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*tang 1na,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*tang-ina,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*tang1na,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*tang_ina,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
p*tangina,Cebuano/Filipino,profanity,high,p*tang ina,block_and_flag
ukinam,Ilocano,profanity,high,UKINAM | Ukinam | u k i n a m | u kinam | u****m | uk1n4m | uk1n@m | uk1nam | ukin4m | ukin@m | ukinam,block_and_flag
u k i n a m,Ilocano,profanity,high,ukinam,block_and_flag
u kinam,Ilocano,profanity,high,ukinam,block_and_flag
u****m,Ilocano,profanity,high,ukinam,block_and_flag
uk1n4m,Ilocano,profanity,high,ukinam,block_and_flag
uk1n@m,Ilocano,profanity,high,ukinam,block_and_flag
uk1nam,Ilocano,profanity,high,ukinam,block_and_flag
ukin4m,Ilocano,profanity,high,ukinam,block_and_flag
ukin@m,Ilocano,profanity,high,ukinam,block_and_flag
ulol,Ilocano,insult,high,ULOL | Ulol | u l o l | u lol | u**l | ul0l | ulol,block_and_flag
u l o l,Ilocano,insult,high,ulol,block_and_flag
u lol,Ilocano,insult,high,ulol,block_and_flag
u**l,Ilocano,insult,high,ulol,block_and_flag
ul0l,Ilocano,insult,high,ulol,block_and_flag
natangken,Ilocano,insult,medium,NATANGKEN | Natangken | n a t a n g k e n | n atangken | n*******n | n4t4ngk3n | n4t4ngken | n@t@ngk3n | n@t@ngken | natangk3n | natangken,warn_and_log
n a t a n g k e n,Ilocano,insult,medium,natangken,warn_and_log
n atangken,Ilocano,insult,medium,natangken,warn_and_log
n*******n,Ilocano,insult,medium,natangken,warn_and_log
n4t4ngk3n,Ilocano,insult,medium,natangken,warn_and_log
n4t4ngken,Ilocano,insult,medium,natangken,warn_and_log
n@t@ngk3n,Ilocano,insult,medium,natangken,warn_and_log
n@t@ngken,Ilocano,insult,medium,natangken,warn_and_log
natangk3n,Ilocano,insult,medium,natangken,warn_and_log
yawa,Hiligaynon,profanity,high,YAWA | Yawa | y a w a | y awa | y**a | y4w4 | y@w@ | yawa,block_and_flag
y a w a,Hiligaynon,profanity,high,yawa,block_and_flag
y awa,Hiligaynon,profanity,high,yawa,block_and_flag
y**a,Hiligaynon,profanity,high,yawa,block_and_flag
y4w4,Hiligaynon,profanity,high,yawa,block_and_flag
y@w@,Hiligaynon,profanity,high,yawa,block_and_flag
buang,Hiligaynon,insult,high,BUANG | Buang | b u a n g | b uang | b***g | bu4ng | bu@ng | buang,block_and_flag
b u a n g,Hiligaynon,insult,high,buang,block_and_flag
b uang,Hiligaynon,insult,high,buang,block_and_flag
b***g,Hiligaynon,insult,high,buang,block_and_flag
bu4ng,Hiligaynon,insult,high,buang,block_and_flag
bu@ng,Hiligaynon,insult,high,buang,block_and_flag
gago,Hiligaynon,insult,high,GAGO | Gago | g a g o | g ago | g**o | g4go | g@g0 | g@go | gag0 | gago,block_and_flag
g a g o,Hiligaynon,insult,high,gago,block_and_flag
g ago,Hiligaynon,insult,high,gago,block_and_flag
g**o,Hiligaynon,insult,high,gago,block_and_flag
g4go,Hiligaynon,insult,high,gago,block_and_flag
g@g0,Hiligaynon,insult,high,gago,block_and_flag
g@go,Hiligaynon,insult,high,gago,block_and_flag
gag0,Hiligaynon,insult,high,gago,block_and_flag
yawa,Waray,profanity,high,YAWA | Yawa | y a w a | y awa | y**a | y4w4 | y@w@ | yawa,block_and_flag
y a w a,Waray,profanity,high,yawa,block_and_flag
y awa,Waray,profanity,high,yawa,block_and_flag
y**a,Waray,profanity,high,yawa,block_and_flag
y4w4,Waray,profanity,high,yawa,block_and_flag
y@w@,Waray,profanity,high,yawa,block_and_flag
buang,Waray,insult,high,BUANG | Buang | b u a n g | b uang | b***g | bu4ng | bu@ng | buang,block_and_flag
b u a n g,Waray,insult,high,buang,block_and_flag
b uang,Waray,insult,high,buang,block_and_flag
